stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00049] added dtor for timer 00000279CD912D60, func 00007FFD848D1050
dtor     D               dtor.c:196  _al_register_destructor          [   0.00065] added dtor for queue 00000279CF3A6DB0, func 00007FFD848D1C30
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00087] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00113] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00127] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.01283] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.16493] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.16622] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.16641] al_display=00000279D1EAAFA0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.16656] al_display->vt=00000279CF594A50
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17975] found 128 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.17998] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18023] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18042] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18058] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18070] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18085] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18100] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18110] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18120] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18130] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18139] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18151] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18161] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18170] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18182] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18203] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18215] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18229] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18244] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18260] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18273] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18286] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18299] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18312] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18322] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18333] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18343] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18352] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18363] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18375] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18386] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18398] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18409] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18421] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18432] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18446] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18456] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18468] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18479] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18491] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18501] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18514] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18525] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18537] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18548] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18560] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18570] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18579] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18591] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18602] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18615] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18628] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18639] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18653] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18664] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18676] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18687] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18698] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18707] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18716] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.18727] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18738] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.18748] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18761] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.18773] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18789] Single Buffer requirement not met.
